"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"Duane Morris","3","$353,699.22","1,881.90","$32,865.93","$581,220.00","$0.00"
"Cole, Scott & Kissane","32","$65,184.02","3,493.89","$46,713.08","$579,923.46","$0.00"
"CIPRIANI AND WERNER","385","$8,307.17","4,416.69","$39,844.29","$577,296.15","$0.00"
"CRANFILL SUMNER & HARTZOG LLP","58","$17,299.54","3,723.59","$35,365.16","$570,087.26","$0.00"
"Leitner, Williams, Dooley & Napolitan, PLLC","95","$11,464.40","4,707.79","$17,178.19","$565,195.09","$0.00"
"LeClairRyan","14","$314,348.06","2,457.78","$2,910.91","$560,154.53","$0.00"
"Latham & Watkins","2","$303,808.84","865.40","$360.64","$607,257.03","$47,857.03"
"Reynolds Frizzell","1","$7,777,874.65","976.90","$6,254.56","$555,586.00","$0.00"
"BROWN GAVALAS & FROMM LLP","28","$32,231.54","2,204.93","$69,224.58","$552,703.57","$0.00"
"SEMMES BOWEN & SEMMES","212","$6,955.88","4,973.19","$16,467.88","$551,107.35","$0.00"
"THE WENDEROFF LAW GROUP APC","75","$10,073.49","3,687.88","$1,446.17","$550,180.29","$0.00"
"Daley & Heft, Llp","2","","3,174.79","$3,613.44","$550,120.00","$0.00"
"PIETRAGALLO GORDON ALFANO BOSICK & RASPANTI LLP","34","$59,644.57","2,678.34","$58,203.35","$545,986.29","$0.00"
"Klein Law Firm","2","","1,084.60","$0.00","$535,788.00","$0.00"
"REMINGER ATTORNEYS AT LAW","68","$17,175.93","4,145.09","$52,080.04","$535,539.61","$0.00"
"Severson & Werson","11","$76,524.52","2,624.99","$55,727.96","$535,141.38","$0.00"
"PISCIOTTI MALSCH","15","$115,926.31","2,705.40","$55,160.01","$534,361.11","$0.00"
"BAIRD LAW","57","$4,863.79","2,509.20","$364.68","$530,976.25","$0.00"
"Heyl Royster Voelker & Allen","19","$34,301.85","3,174.09","$4,187.50","$529,075.04","$0.00"
"TREECE ALFREY MUSAT PC","64","$18,220.20","4,219.41","$11,235.94","$527,760.94","$0.00"
"Arnold & Porter","7","$91,182.29","911.00","$0.00","$549,642.50","$26,500.00"
"HOFFMAN KELLEY LOPEZ LLP","161","$7,234.39","4,593.49","$40,149.16","$522,740.86","$0.00"
"Juneau David PLC","51","$38,133.80","3,506.08","$44,495.47","$520,754.41","$0.00"
"TAUNTON SNYDER & PARISH PC","25","$50,330.54","3,482.68","$22,520.35","$518,905.57","$0.00"
"Cowles & Thompson","22","$38,301.34","3,686.78","$44,538.18","$516,266.96","$0.00"
"Morrison & Foerster","28","$147,220.46","701.70","$74,963.87","$1,217,966.95","$704,820.87"
"MATHENY SEARS LINKERT & JAIME LLP","18","$98,265.02","3,424.70","$16,717.28","$515,813.45","$6,752.50"
"Parker Poe Adams & Bernstein","5","$98,184.67","2,602.39","$5,933.48","$505,051.30","$2,784.00"
"CERUSSI & SPRING","18","$57,509.45","2,639.14","$11,177.66","$499,504.50","$0.00"
"CHESNEY NICHOLAS & BROWER LLP","34","$25,461.29","2,673.59","$8,422.34","$497,542.50","$0.00"
"FERGUSON FROST MOORE & YOUNG","33","$51,415.89","3,523.39","$37,202.35","$495,149.86","$0.00"
"BANKER LOPEZ GASSLER","33","$32,758.47","3,729.88","$59,866.24","$490,835.56","$0.00"
"WELBY BRADY & GREENBLATT LLP","5","$14,790.11","2,818.79","$1,061.01","$489,362.20","$0.00"
"Hall Prangle & Schoonveld, Llc","17","$47,566.88","2,403.09","$54,216.66","$487,205.52","$0.00"
"Foran Glennon Palandech Ponzi & Rudloff, Pc","20","$41,238.58","2,067.09","$8,142.27","$485,824.49","$0.00"
"Morrison Mahoney LLC","72","$11,708.32","3,058.99","$13,993.82","$475,717.72","$0.00"
"BULLARO & CARTON, P.C.","25","$51,673.66","3,532.68","$12,128.21","$474,121.75","$0.00"
"WEISS WEXLER WORNOW PC","2,359","$947.07","3,860.99","$188.40","$1,613,462.00","$1,140,011.36"
"HARTLINE DACUS BARGER DREYER LLP","58","$70,797.58","2,463.30","$40,223.29","$473,208.23","$0.00"
"WATERS & ROBINSON LLP","94","$14,056.41","3,052.58","$1,848.78","$473,087.50","$0.00"
"GLUCKWALRATH LLP","34","$26,316.80","3,405.09","$12,893.42","$471,974.87","$0.00"
"COLVIN SAENZ RODRIGUEZ & KENNAMER LLP","30","$39,636.34","3,120.49","$52,635.97","$470,399.10","$0.00"
"FRANKE & SALLOUM PLLC","19","$40,241.22","4,824.59","$27,854.55","$469,613.94","$0.00"
"SHAFER DAVIS O'LEARY & STOKER","44","$26,840.81","3,398.79","$41,740.89","$468,941.69","$0.00"
"Roberts & Roberts","92","$16,307.24","3,422.79","$16,986.13","$468,703.25","$0.00"
"Prenovost, Normandin, Bergh & Dawe","34","$31,861.05","2,973.20","$46,670.75","$467,363.68","$0.00"
"Hayes Scott Bonino Ellingson Guslani Simonson & Clause, LLP","23","$44,286.60","2,642.38","$20,426.64","$465,894.44","$0.00"
"LAMONTAGNE & AMADOR LLP","10","$104,938.64","1,584.49","$3,570.78","$463,523.33","$0.00"
"TOBIN LUCKS LLP","100","$6,195.59","3,340.49","$1,950.99","$463,479.36","$0.00"
"FOLAND WICKENS ROPER HOFER & CRAWFORD PC","43","$11,565.03","2,369.09","$6,004.31","$453,991.26","$0.00"
"Novack and Macey, LLP","1","","1,097.70","$4,225.25","$452,076.60","$0.00"
"Kightlinger & Gray","102","$13,329.77","3,298.49","$7,308.20","$451,642.24","$0.00"
"O'MEARA LEER WAGNER & KOHL PA","54","$17,595.94","3,196.49","$13,590.10","$447,831.64","$0.00"
"McGuireWoods","1","$3,762,105.87","1,082.30","$60,407.92","$445,116.50","$3,149.00"
"Luh & Associates","13","$43,278.63","3,292.39","$8,136.45","$441,796.27","$0.00"
"NYEMASTER GOODE PC","23","$125,312.92","2,557.58","$41,718.55","$438,649.24","$0.00"
"CHARTWELL LAW OFFICES LLP","128","$7,282.72","3,420.99","$9,107.10","$436,275.63","$0.00"
"POHL & AUBREY PSC","208","$5,046.92","5,337.50","$32,722.26","$433,801.45","$0.00"
"ROEMER WALLENS GOLD & MINEAUX LLP","13","$49,231.42","2,471.79","$9,560.50","$432,543.25","$0.00"
"Squire Patton Boggs","195","$41,263.56","1,042.79","$4,313.62","$7,525,621.80","$7,094,410.00"
"Collins Collins Muit & Stewart","4","$156,368.98","2,278.00","$0.00","$431,126.34","$0.00"
"Smithamundsen Llc","15","$153,851.87","1,936.39","$9,567.26","$430,619.99","$0.00"
"Renzulli Law Firm, Llp","25","$55,223.27","3,099.58","$9,492.94","$430,288.58","$0.00"
"Ogletree, Deakins, Nash, Smoak & Stewart","17","$44,930.73","2,084.47","$45,024.54","$430,448.30","$2,108.00"
"KESSLER COLLINS PC","2","$370,489.23","2,548.99","$20,229.36","$433,135.42","$5,280.50"
"Hewitt & Raphael","11","$71,769.22","2,452.70","$25,132.14","$427,535.13","$0.00"
"Spilman, Thomas & Battle","32","$11,173.77","2,087.40","$15,704.64","$426,478.67","$0.00"
"CROWLEY FLECK LLP","27","$33,949.53","2,388.99","$48,915.54","$425,296.61","$0.00"
"ONEBANE LAW FIRM","7","$119,274.04","2,031.20","$20,905.83","$416,982.00","$0.00"
"FARRELL WHITE & LEGG PLLC","23","$33,369.40","2,799.19","$5,743.44","$415,870.70","$0.00"
"Worthe, Hanson & Worthe","18","$74,139.72","1,503.90","$52,740.34","$414,429.90","$0.00"
"CONROY SIMBERG PA","40","$18,715.68","3,545.19","$37,873.47","$413,555.35","$0.00"
"Barrett & Matura","9","$149,973.26","2,073.90","$58,207.31","$412,576.50","$0.00"
"WEISS & AKERMAN, PC","70","$33,634.64","1,290.00","$18,305.48","$409,110.66","$0.00"
"HUMPHREYS MCLAUGHLIN & MCALEER LLC","146","$5,735.19","3,493.15","$5,588.47","$408,951.79","$0.00"
"ANDERSON JULIAN & HULL LLP","22","$74,109.19","2,880.70","$9,858.13","$406,920.89","$0.00"
"CONNELL FOLEY LLP","12","$17,460.03","2,329.80","$6,039.04","$402,595.27","$0.00"
"WEBER GALLAGHER SIMPSON STAPLETON FIRES & NEWBY LLP","26","$33,361.46","1,712.69","$13,251.35","$400,531.20","$0.00"
"Fried, Frank, Harris, Shriver & Jacobson","1","","382.60","$6,709.10","$400,064.50","$0.00"
"THORNTON BIECHLIN SEGRATO REYNOLDS & GUERRA LC","19","$44,169.53","2,981.69","$52,542.71","$399,496.72","$0.00"
"MCDONOUGH COHEN & MASELEK LLP","20","$75,417.41","1,804.19","$10,020.96","$398,382.41","$0.00"
"WALLACE SAUNDERS","145","$5,442.98","3,269.19","$35,064.22","$395,958.09","$0.00"
"LOPEZ LAW GROUP PLLC","12","$33,578.04","3,026.59","$59,683.29","$395,910.74","$0.00"
"TEAGUE CAMPBELL DENNIS & GORHAM LLP","64","$12,315.90","3,064.89","$4,130.71","$394,815.96","$0.00"
"BROWN LAW LLP","6","$81,017.35","2,237.48","$52,405.45","$393,928.11","$0.00"
"BULLIVANT HOUSER & BAILEY PC","39","$19,517.93","2,255.60","$8,634.67","$393,477.36","$0.00"
"Akin Gump Strauss Hauer & Feld","4","$78,617.75","699.40","$0.00","$424,777.00","$31,452.50"
"MOORE INGRAM JOHNSON & STEELE LLP","90","$10,914.37","3,262.99","$5,271.24","$391,655.91","$0.00"
"YOUNG CLEMENT RIVERS LLP","64","$11,696.39","3,466.69","$17,409.57","$391,359.70","$0.00"
"Braff, Harris & Sukoneck","55","$14,762.61","2,834.79","$16,170.64","$388,331.13","$0.00"
"Seyfarth Shaw","8","$127,561.23","863.60","$4,500.19","$404,143.37","$16,749.20"
"Swift, Currie, McGhee & Hiers, LLP","65","$8,730.69","2,780.19","$21,420.68","$387,314.11","$0.00"
"Litchfield Cavo LLP","69","$11,456.81","2,768.99","$938.08","$384,531.90","$0.00"
"KESSNER UMEBAYASHI BAIN MATSUNAGA","67","$10,651.87","3,255.14","$12,591.55","$384,442.62","$0.00"
"MCGUIRE WOODS LLP","2","$2,689,951.00","892.80","$24,693.89","$382,438.50","$0.00"
"LOWIS & GELLEN LLP","20","$36,109.83","1,887.69","$47,662.99","$382,318.50","$0.00"
"NAKAMOTO FAVELA AND LIU LLP","109","$4,358.70","2,686.10","$748.83","$380,771.10","$0.00"
"Evans & Dixon","186","$6,143.58","3,649.19","$12,893.63","$378,008.78","$0.00"
"MARGOLIS EDELSTEIN","25","$14,356.11","3,214.60","$7,001.20","$377,762.64","$0.00"
"VERRILL & DANA LLP","10","$85,592.11","1,892.80","$13,116.70","$373,257.22","$0.00"
"GRIFFIN & SMITH","69","$15,777.72","2,540.89","$46,694.69","$372,398.24","$0.00"
"Smith Sovik Kendrick & Sugnet, P.C.","234","$4,342.56","3,226.59","$9,436.80","$372,378.30","$0.00"
"SHEEHY WARE & PAPPAS PC","70","$20,350.67","3,330.18","$32,073.48","$368,498.82","$0.00"
"REINISCH WILSON WEIER PC","64","$7,638.13","3,229.29","$16,778.67","$364,339.01","$0.00"
"MCGIVNEY KLUGER & COOK PC","34","$45,264.62","2,901.09","$84,357.17","$362,962.39","$0.00"
"RODEY DICKASON SLOAN AKIN & ROBB","16","$65,405.90","2,583.59","$17,848.25","$360,819.69","$0.00"
"Christensen & Jensen, PC","19","$31,370.71","2,449.39","$30,611.74","$357,210.54","$0.00"
"LAW OFFICE OF CAROL A SCHRAGER","8","$137,323.34","1,215.39","$27,773.42","$356,800.40","$0.00"
"GOOLSBY PROCTOR HEEFNER & GIBBS","22","$22,284.97","2,954.24","$19,002.25","$354,647.83","$0.00"
"LAW OFFICES OF FRIEDMAN & BARTOUMIAN","102","$4,883.55","2,684.39","$1,937.69","$353,970.70","$0.00"
"RHODES HIERONYMUS JONES TUCKER & GABLE PLLC","18","$54,248.08","2,397.69","$19,889.87","$351,995.25","$0.00"
"BUTT THORNTON & BAEHR PC","18","$123,553.38","2,529.49","$54,196.83","$351,728.69","$0.00"
"Clark Hill","12","$198,649.21","2,466.69","$58,298.62","$346,614.52","$0.00"
"JARDINE BAKER HICKMAN HOUSTON PLLC","18","$5,692.29","3,278.39","$90,420.73","$345,527.17","$0.00"
"Dac Beachcroft","2","$495,912.94","1,587.10","$427.87","$353,467.80","$8,708.07"
"Shearman & Sterling","4","$250,072.85","353.20","$113.42","$344,453.35","$0.00"
"DOWNS & STANFORD PC","33","$19,527.70","2,887.09","$19,502.63","$344,406.46","$0.00"
"MARTENS & ASSOCIATES PS","9","$61,240.27","2,357.19","$6,741.61","$341,693.52","$0.00"
"CARNEY BADLEY SPELLMAN PS","20","$51,623.26","1,374.90","$3,495.35","$341,658.49","$0.00"
"Boehl, Stopher & Graves, LLP","39","$19,032.75","2,947.89","$107,562.26","$341,441.29","$0.00"
"MCKENRY DANCIGERS DAWSON PC","21","$34,411.18","2,665.30","$26,363.89","$340,051.96","$0.00"
"SCHNADER HARRISON SEGAL & LEWIS","14","$58,811.64","1,468.19","$9,744.18","$342,745.95","$3,049.80"
"Akerman Senterfitt","84","$13,098.53","999.30","$6,880.59","$339,682.05","$0.00"
"SATHER BYERLY & HOLLOWAY LLP","65","$14,183.91","2,711.23","$5,896.08","$338,455.75","$0.00"
"Norris, Choplin & Schroeder","25","$21,295.62","2,419.69","$17,277.75","$336,350.01","$0.00"
"Cadwalader, Wickersham & Taft","5","$371,523.94","612.40","$0.00","$335,899.92","$2,647.50"
"Ramey, Chandler, Quinn & Zito, P.C.","11","$47,624.79","2,046.39","$64,268.09","$332,864.11","$0.00"
"MICHAELIS MONTANARI & JOHNSON","5","$294,149.46","1,273.29","$331,878.65","$332,337.00","$0.00"
"MARKOW WALKER PA","120","$9,621.70","3,483.09","$12,211.78","$332,011.76","$0.00"
"McGlinchey Stafford","5","$196,514.05","35,567.50","$24,336.75","$331,453.74","$0.00"
"PRETI, FLAHERTY, BELIVEAU & PACHIOS, LLP","67","$8,224.71","2,831.00","$4,181.21","$333,567.41","$2,140.60"
"ANDREWS SKINNER PS","38","$42,804.00","2,359.89","$45,606.49","$331,329.33","$0.00"
"Winston & Strawn","3","$283,969.68","504.50","$0.10","$330,672.50","$0.00"
"Lewis Roca Rothgerber Christie LLP","6","$279,444.72","799.30","$48.80","$327,680.50","$0.00"
"FLAHIVE OGDEN & LATSON","259","$2,082.90","2,917.70","$3,697.63","$326,314.11","$0.00"
"ZELLE LLP","16","$49,138.61","3,429.49","$188,449.85","$325,255.37","$0.00"
"Bodman","11","$26,053.85","895.60","$12,383.32","$324,692.00","$0.00"
"MADDIN HAUSER WARTELL ROTH & HELLER PC","9","$40,889.49","1,446.29","$15,348.24","$322,008.21","$0.00"
"COOPER LEVENSON","22","$34,451.71","2,433.69","$29,123.77","$320,570.68","$0.00"
"WILLIAMS & GUNDLACH LLC","16","$42,420.31","1,253.00","$18,426.99","$319,925.00","$0.00"
"HOLMES WEDDLE & BARCOTT PC","24","$33,704.70","1,784.59","$10,569.53","$319,654.02","$0.00"
"ELLER TONNSEN BACH LLC","120","$3,663.88","2,822.89","$23,556.36","$316,603.70","$0.00"
"SLOANE & WALSH LLP","17","$53,316.56","1,702.99","$17,506.09","$315,574.37","$0.00"
"RYAN & LIFTER","16","$55,795.77","1,800.59","$11,692.25","$314,138.09","$0.00"
"ADLER POLLOCK & SHEEHAN PC","5","$98,991.04","1,710.50","$6,447.42","$312,882.61","$0.00"
"STRACHAN STRACHAN & SIMON PC","11","$73,468.87","1,446.80","$9,881.82","$310,571.27","$0.00"
"GOLDSTEIN & COMPANY PA","9","$68,238.82","1,279.59","$22,742.24","$310,024.10","$0.00"
"GAUSNELL, O'KEEFE & THOMAS, LLC","7","$67,174.84","2,211.29","$14,014.74","$307,077.34","$0.00"
"HAWORTH BRADSHAW STALLKNECHT & BARBER INC","71","$13,372.37","2,010.49","$5,580.46","$306,752.78","$0.00"
"BOYD & JENERETTE PA","114","$10,780.29","2,052.10","$18,639.73","$306,473.65","$0.00"
"Jackson Lewis","15","$68,482.47","1,650.50","$14,967.18","$305,050.58","$0.00"
"Roetzel & Andress","21","$48,110.67","1,902.22","$24,724.90","$303,604.26","$0.00"
"MORGAN MELHUISH ABRUTYN","22","$35,788.17","2,260.39","$16,035.91","$302,473.00","$0.00"
"WOMBLE BOND DICKINSON LLP US","14","$152,404.64","1,593.80","$11,549.01","$302,004.28","$0.00"
"KELLEY KRONENBERG","28","$34,778.89","2,248.89","$5,688.41","$301,356.23","$0.00"
"MILLER NASH GRAHAM & DUNN LLP","2","$2,298.00","1,215.50","$33,183.05","$299,745.83","$0.00"
"Melick, Porter, & Shea","46","$31,904.61","1,838.90","$10,998.31","$298,473.28","$0.00"
"Kennedys CMK LLP","48","$2,817.92","1,413.19","$5,076.60","$297,921.89","$0.00"
"Sweetbaum Sands Anderson PC","31","$17,641.11","1,994.99","$24,153.60","$296,848.07","$0.00"
"Clyde & Co Us","2","$173,256.20","674.40","-$856.61","$296,165.50","$0.00"
"SOBEL PEVZNER LLC","27","$17,778.67","2,011.10","$8,275.98","$295,998.85","$0.00"
"GERSTLE MINISSALE & SNELSON LLP","11","$46,883.06","2,480.08","$6,637.40","$294,881.20","$0.00"
"Collins Collins Muir & Stewart, LLP","7","$105,805.22","1,578.09","$14,617.75","$294,247.34","$0.00"
"ENGLAND PONTICELLO & ST. CLAIR","94","$6,694.61","1,824.19","$9,011.46","$292,779.10","$0.00"
"SMITH AMUNDSEN","10","$127,852.76","1,377.20","$2,525.46","$292,490.58","$0.00"
"BRODY & BRANCH LLP","47","$34,775.01","1,863.19","$6,287.67","$291,398.82","$0.00"
"BATY HOLM NUMRICH & OTTO PC","34","$28,505.30","2,493.68","$52,082.98","$290,307.18","$0.00"
"VERNIS & BOWLING","22","$27,863.34","1,566.00","$4,908.74","$288,393.50","$0.00"
"SIESENNOP & SULLIVAN","6","$27,603.25","1,943.00","$63,087.73","$287,986.40","$0.00"
"EGGLESTON & BRISCOE","31","$42,395.38","1,646.20","$1,885.03","$287,331.93","$0.00"
"VANDEVENTER BLACK LLP","119","$7,456.54","2,689.69","$5,180.52","$286,895.29","$0.00"
"HANKIN & GIARAMITA PA","15","$39,460.10","1,507.80","$10,861.98","$285,237.90","$0.00"
"THE RIETZ LAW FIRM","6","$63,283.49","1,841.49","$15,100.25","$285,036.82","$0.00"
"Shutts & Bowen","21","$130,668.09","787.80","$8,929.39","$284,431.15","$0.00"
"KUBICKI DRAPER","22","$42,176.94","2,404.80","$4,604.49","$281,911.32","$0.00"
"Meagher & Geer","20","$46,429.19","1,820.49","$6,649.07","$281,768.42","$0.00"
"SHARPLESS MCCLEARN LESTER DUFFY PA","2","$358,416.38","2,550.98","$22,197.44","$280,551.48","$0.00"
"Butler Snow LLP","22","$60,633.05","1,395.39","$10,078.02","$387,719.54","$108,000.00"
"Brennan And Wasden","1","$294,648.37","1,171.40","$15,706.37","$278,942.00","$0.00"
"BRONSTER FUJICHAKU ROBBINS","2","$288,694.71","1,361.60","$14,079.89","$278,595.50","$0.00"
"SLOAN & WALSH","17","$52,719.23","1,493.20","$128.13","$278,422.83","$0.00"
"PERRINE REDEMANN BERRY TAYLOR & SLOAN PLLC","139","$9,958.95","2,582.09","$37,528.66","$278,171.15","$0.00"
"BABCOCK SCOTT & BABCOCK PC","5","$130,534.28","2,077.34","$14,980.95","$276,024.31","$0.00"
"HENNESSY & ROACH PC","57","$13,086.64","1,792.90","$7,548.55","$274,895.50","$0.00"
"Faegre Baker Daniels","3","$1,183,293.30","954.19","$9,238.60","$274,677.40","$0.00"
"COBB MARTINEZ WOODWARD PLLC","11","$35,919.03","2,173.19","$14,548.26","$274,303.28","$0.00"
"BLAKE KIRCHNER SYMONDS LARSON KENNEDY & SMITH","83","$6,626.06","2,526.70","$14,407.34","$271,403.24","$0.00"
"Perrine Redemann Berry Taylor & Frette","107","$10,598.36","2,086.95","$0.00","$268,909.49","$0.00"
"THORNDAL ARMSTRONG DELK BALKENBUSH & EISINGER","18","$33,128.05","2,132.89","$18,358.60","$268,293.17","$0.00"
"DOPF PC","18","$80,715.12","1,358.39","$2,399.13","$267,172.81","$0.00"
"FLOYD SKEREN MANUKIAN LANGEVIN LLP","42","$15,875.31","2,164.99","$804.98","$266,869.80","$0.00"
"SANDERS & PARKS","15","$31,551.39","1,112.80","$479.85","$266,671.79","$0.00"
"STARN O'TOOLE MARCUS & FISHER","6","$174,956.61","713.60","$13,213.07","$266,177.00","$0.00"
"THOMAS & COMPANY LPA","38","$6,523.18","1,582.20","$3,117.94","$265,788.28","$0.00"
"GALLAGHER CASADOS & MANN PC","10","$136,674.24","1,813.79","$36,156.59","$262,531.85","$0.00"
